,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-L/100km,price,fuel-type-diesel,fuel-type-gas,aspiration-type-std,aspiration-type-turbo
37,0,106,honda,two,hatchback,fwd,front,96.5,-0.5438159232999652,-0.32789164628194845,-0.19064565802426695,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,9095.0,0,1,1,0
38,0,85,honda,four,sedan,fwd,front,96.5,0.0973046532892318,-0.32789164628194845,0.1361754700172991,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,8845.0,0,1,1,0
39,0,85,honda,four,sedan,fwd,front,96.5,0.0973046532892318,-1.612706060991132,0.1361754700172991,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,7.121212121212121,10295.0,0,1,1,0
40,0,85,honda,four,sedan,fwd,front,96.5,0.0973046532892318,-0.32789164628194845,0.1361754700172991,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,9.791666666666666,8.392857142857142,12945.0,0,1,1,0
41,1,107,honda,two,sedan,fwd,front,96.5,-0.4139687179148119,0.052794106224474543,-1.1302564011437632,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,9.4,7.580645161290323,10345.0,0,1,1,0
42,0,122,isuzu,four,sedan,rwd,front,94.3,-0.2841215125296586,-1.9458060944342546,-0.1089403760138747,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,9.791666666666666,8.10344827586207,6785.0,0,1,1,0
43,2,122,isuzu,two,hatchback,rwd,front,96.0,-0.12992795613478814,-0.32789164628194845,-0.9668458371229816,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,9.791666666666666,8.10344827586207,11048.0,0,1,1,0
44,0,145,jaguar,four,sedan,rwd,front,113.0,2.061243634739681,1.7658799925033812,-0.39490886305024464,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,12.368421052631579,32250.0,0,1,1,0
45,0,122,jaguar,four,sedan,rwd,front,113.0,2.061243634739681,1.7658799925033812,-0.39490886305024464,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,12.368421052631579,35550.0,0,1,1,0
46,0,122,jaguar,two,sedan,rwd,front,102.0,1.420123058150484,2.241737183136412,-2.4375409133100217,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,18.076923076923077,13.823529411764707,36000.0,0,1,1,0
47,1,104,mazda,two,hatchback,fwd,front,93.1,-1.2255137515720227,-0.8037488369149789,0.1361754700172991,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.833333333333333,7.580645161290323,5195.0,0,1,1,0
48,1,104,mazda,two,hatchback,fwd,front,93.1,-1.2255137515720227,-0.8037488369149789,0.1361754700172991,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,6095.0,0,1,1,0
49,1,104,mazda,two,hatchback,fwd,front,93.1,-1.2255137515720227,-0.8037488369149789,0.1361754700172991,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,6795.0,0,1,1,0
50,1,113,mazda,four,sedan,fwd,front,93.1,-0.600624075655969,-0.8037488369149789,0.1361754700172991,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,6695.0,0,1,1,0
51,1,113,mazda,four,sedan,fwd,front,93.1,-0.600624075655969,-0.8037488369149789,0.1361754700172991,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,7.580645161290323,6.184210526315789,7395.0,0,1,1,0
52,3,150,mazda,two,hatchback,rwd,front,95.3,-0.42208416825138356,-0.08996305096543322,-1.7021933752165002,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,13.823529411764707,10.217391304347826,10945.0,0,1,1,0
53,3,150,mazda,two,hatchback,rwd,front,95.3,-0.42208416825138356,-0.08996305096543322,-1.7021933752165002,2380,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,13.823529411764707,10.217391304347826,11845.0,0,1,1,0
54,3,150,mazda,two,hatchback,rwd,front,95.3,-0.42208416825138356,-0.08996305096543322,-1.7021933752165002,2385,rotor,two,70,4bbl,3.3297512437810957,3.2554228855721337,9.4,101,6000.0,13.823529411764707,10.217391304347826,13645.0,0,1,1,0
55,3,150,mazda,two,hatchback,rwd,front,95.3,-0.42208416825138356,-0.08996305096543322,-1.7021933752165002,2500,rotor,two,80,mpfi,3.3297512437810957,3.2554228855721337,9.4,135,6000.0,14.6875,10.217391304347826,15645.0,0,1,1,0
56,1,129,mazda,two,hatchback,fwd,front,98.8,0.29207546136696283,0.2907227015409897,-0.027235094003482462,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,8845.0,0,1,1,0
57,0,115,mazda,four,sedan,fwd,front,98.8,0.29207546136696283,0.2907227015409897,0.708112444090036,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,8495.0,0,1,1,0
58,1,129,mazda,two,hatchback,fwd,front,98.8,0.29207546136696283,0.2907227015409897,-0.027235094003482462,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,10595.0,0,1,1,0
59,0,115,mazda,four,sedan,fwd,front,98.8,0.29207546136696283,0.2907227015409897,0.708112444090036,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,10245.0,0,1,1,0
60,0,122,mazda,four,sedan,fwd,front,98.8,0.29207546136696283,0.2907227015409897,0.708112444090036,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,6.527777777777778,5.595238095238095,10795.0,1,0,1,0
61,0,115,mazda,four,hatchback,fwd,front,98.8,0.29207546136696283,0.2907227015409897,0.708112444090036,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,7.34375,11245.0,0,1,1,0
62,0,118,mazda,four,sedan,rwd,front,104.9,0.06484285194294291,0.10037982528777488,0.25873339303288456,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,12.368421052631579,8.703703703703704,18280.0,0,1,1,0
63,0,122,mazda,four,sedan,rwd,front,104.9,0.06484285194294291,0.10037982528777488,0.25873339303288456,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,7.580645161290323,6.0256410256410255,18344.0,1,0,1,0
64,-1,93,mercedes-benz,four,sedan,rwd,front,110.0,1.3551994554579085,2.098980025946504,1.1166388541419914,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,25552.0,1,0,0,1
65,-1,93,mercedes-benz,four,wagon,rwd,front,110.0,1.3551994554579085,2.098980025946504,2.0153969562562946,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,28248.0,1,0,0,1
66,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,1.0792741440144564,2.098980025946504,0.46299659805886223,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,28176.0,1,0,0,1
67,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,2.304707144836844,2.765180092832749,1.034933572131599,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,9.4,31600.0,1,0,0,1
68,-1,122,mercedes-benz,four,sedan,rwd,front,115.6,2.304707144836844,2.765180092832749,1.1166388541419914,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,13.055555555555555,34184.0,0,1,1,0
69,3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.4949617197812655,2.1941514640731112,-1.2119616831541553,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,13.055555555555555,35056.0,0,1,1,0
70,0,122,mercedes-benz,four,sedan,rwd,front,120.9,2.75105691334831,2.765180092832749,1.1983441361523837,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,14.6875,40960.0,0,1,1,0
71,1,122,mercedes-benz,two,hardtop,rwd,front,112.0,2.028781833393392,2.907937250022657,0.6672598030848399,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,14.6875,45400.0,0,1,1,0
72,1,122,mercury,two,hatchback,rwd,front,102.7,0.34076816338639504,1.0045084874905355,0.42214395705366614,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,12.368421052631579,9.791666666666666,16503.0,0,1,0,1
73,2,161,mitsubishi,two,hatchback,fwd,front,93.7,-1.3715918576303192,-0.7085773987883714,-1.2119616831541553,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,6.351351351351352,5.7317073170731705,5389.0,0,1,1,0
74,2,161,mitsubishi,two,hatchback,fwd,front,93.7,-1.3715918576303192,-0.7085773987883714,-1.2119616831541553,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6189.0,0,1,1,0
75,2,161,mitsubishi,two,hatchback,fwd,front,93.7,-1.3715918576303192,-0.7085773987883714,-1.2119616831541553,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,6.184210526315789,6669.0,0,1,1,0
76,1,161,mitsubishi,two,hatchback,fwd,front,93.0,-1.3715918576303192,-0.9940917131681937,-1.2119616831541553,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,9.791666666666666,7.833333333333333,7689.0,0,1,0,1
77,3,153,mitsubishi,two,hatchback,fwd,front,96.3,-0.09746615478849924,-0.232720208155341,-1.7838986572268922,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,7.833333333333333,9959.0,0,1,0,1
78,3,153,mitsubishi,two,hatchback,fwd,front,96.3,-0.09746615478849924,-0.232720208155341,-1.7838986572268922,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34375,8499.0,0,1,1,0
79,3,122,mitsubishi,two,hatchback,fwd,front,95.9,-0.08123525411535595,0.1955512634143823,-1.4570775291853262,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,12.368421052631579,9.791666666666666,12629.0,0,1,0,1
80,3,122,mitsubishi,two,hatchback,fwd,front,95.9,-0.08123525411535595,0.1955512634143823,-1.4570775291853262,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,9.791666666666666,14869.0,0,1,0,1
81,3,122,mitsubishi,two,hatchback,fwd,front,95.9,-0.08123525411535595,0.1955512634143823,-1.4570775291853262,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,9.791666666666666,14489.0,0,1,0,1
82,1,125,mitsubishi,four,sedan,fwd,front,96.3,-0.14615885680793142,-0.232720208155341,-0.8851405551125894,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34375,6989.0,0,1,1,0
83,1,125,mitsubishi,four,sedan,fwd,front,96.3,-0.14615885680793142,-0.232720208155341,-0.8851405551125894,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,7.34375,8189.0,0,1,1,0
84,1,125,mitsubishi,four,sedan,fwd,front,96.3,-0.14615885680793142,-0.232720208155341,-0.8851405551125894,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,7.833333333333333,9279.0,0,1,0,1
85,-1,137,mitsubishi,four,sedan,fwd,front,96.3,-0.14615885680793142,-0.232720208155341,-0.8851405551125894,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,7.833333333333333,9279.0,0,1,1,0
86,1,128,nissan,two,sedan,fwd,front,94.5,-0.7223558307045506,-0.9940917131681937,0.29958603403808065,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,5499.0,0,1,1,0
87,1,128,nissan,two,sedan,fwd,front,94.5,-0.7223558307045506,-0.9940917131681937,0.29958603403808065,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,5.222222222222222,4.7,7099.0,1,0,1,0
88,1,128,nissan,two,sedan,fwd,front,94.5,-0.7223558307045506,-0.9940917131681937,0.29958603403808065,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,6649.0,0,1,1,0
89,1,122,nissan,four,sedan,fwd,front,94.5,-0.7223558307045506,-0.9940917131681937,0.29958603403808065,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,6849.0,0,1,1,0
90,1,103,nissan,four,wagon,fwd,front,94.5,-0.3246987642125192,-0.9940917131681937,-0.1089403760138747,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7349.0,0,1,1,0
91,1,128,nissan,two,sedan,fwd,front,94.5,-0.7223558307045506,-0.9940917131681937,0.29958603403808065,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7299.0,0,1,1,0
92,1,128,nissan,two,hatchback,fwd,front,94.5,-0.6980094796948356,-0.9940917131681937,-0.19064565802426695,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7799.0,0,1,1,0
93,1,122,nissan,four,sedan,fwd,front,94.5,-0.7223558307045506,-0.9940917131681937,0.29958603403808065,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7499.0,0,1,1,0
94,1,103,nissan,four,wagon,fwd,front,94.5,-0.3246987642125192,-0.9940917131681937,-0.1089403760138747,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,7999.0,0,1,1,0
95,2,168,nissan,two,hardtop,fwd,front,95.1,-0.9577038904651421,-0.9940917131681937,-0.19064565802426695,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,6.351351351351352,8249.0,0,1,1,0
96,0,106,nissan,four,hatchback,fwd,front,97.2,-0.06500435344221035,-0.32789164628194845,0.38129131604847294,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,6.911764705882353,8949.0,0,1,1,0
97,0,106,nissan,four,sedan,fwd,front,97.2,-0.06500435344221035,-0.32789164628194845,0.38129131604847294,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,6.911764705882353,9549.0,0,1,1,0
98,0,128,nissan,four,sedan,fwd,front,100.4,0.6085780244932731,0.2907227015409897,0.5447018800692545,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,10.681818181818182,13499.0,0,1,1,0
99,0,108,nissan,four,wagon,fwd,front,100.4,0.8439260842538647,0.2907227015409897,0.9532282901212099,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,10.681818181818182,14399.0,0,1,1,0
100,0,108,nissan,four,sedan,fwd,front,100.4,0.8439260842538647,0.2907227015409897,0.5447018800692545,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,12.368421052631579,9.4,13499.0,0,1,1,0
101,3,194,nissan,two,hatchback,rwd,front,91.3,-0.2841215125296586,0.956922768427235,-1.661340734211304,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.368421052631579,9.4,17199.0,0,1,1,0
102,3,194,nissan,two,hatchback,rwd,front,91.3,-0.2841215125296586,0.956922768427235,-1.661340734211304,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,13.823529411764707,10.217391304347826,19699.0,0,1,0,1
103,1,231,nissan,two,hatchback,rwd,front,99.2,0.34888361372296667,0.956922768427235,-1.661340734211304,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.368421052631579,9.4,18399.0,0,1,1,0
104,0,161,peugot,four,sedan,rwd,front,107.9,1.0143505413218785,1.1948513637437503,1.1983441361523837,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,9.791666666666666,11900.0,0,1,1,0
105,0,161,peugot,four,sedan,rwd,front,107.9,1.0143505413218785,1.1948513637437503,1.1983441361523837,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,7.121212121212121,13200.0,1,0,0,1
106,0,122,peugot,four,wagon,rwd,front,114.2,2.004435482383677,1.1948513637437503,2.0153969562562946,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,9.791666666666666,12440.0,0,1,1,0
107,0,122,peugot,four,wagon,rwd,front,114.2,2.004435482383677,1.1948513637437503,2.0153969562562946,3430,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.4,9.4,13860.0,1,0,0,1
108,0,161,peugot,four,sedan,rwd,front,107.9,1.0143505413218785,1.1948513637437503,1.1983441361523837,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,12.368421052631579,9.791666666666666,15580.0,0,1,1,0
109,0,161,peugot,four,sedan,rwd,front,107.9,1.0143505413218785,1.1948513637437503,1.1983441361523837,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,7.121212121212121,16900.0,1,0,0,1
110,0,122,peugot,four,wagon,rwd,front,114.2,2.004435482383677,1.1948513637437503,1.1983441361523837,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,12.368421052631579,9.791666666666666,16695.0,0,1,1,0
111,0,122,peugot,four,wagon,rwd,front,114.2,2.004435482383677,1.1948513637437503,2.0153969562562946,3485,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.4,9.4,17075.0,1,0,0,1
112,0,161,peugot,four,sedan,rwd,front,107.9,1.0143505413218785,1.1948513637437503,1.1983441361523837,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,9.791666666666666,16630.0,0,1,1,0
113,0,161,peugot,four,sedan,rwd,front,107.9,1.0143505413218785,1.1948513637437503,1.1983441361523837,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,7.121212121212121,17950.0,1,0,0,1
114,0,161,peugot,four,sedan,rwd,front,108.0,1.0143505413218785,1.1472656446804432,0.9123756491160138,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600.0,13.055555555555555,9.791666666666666,18150.0,0,1,0,1
